FID,nom_statio,commune,insee,ligne,geom,objectid
stations_metro.1,PORTE DES POSTES,LILLE,350,1,POINT (50.618421241323 3.0502633881805),1
stations_metro.2,GARE LILLE FLANDRES,LILLE,350,1,POINT (50.637469419166 3.0710153192989),2
stations_metro.3,SQUARE FLANDRES,HELLEMMES (LILLE),298,1,POINT (50.625180852263 3.1160774474866),3
stations_metro.4,PONT DE BOIS,VILLENEUVE D'ASCQ,009,1,POINT (50.624238505671 3.1280450049843),4
stations_metro.5,MONTEBELLO,LILLE,350,2,POINT (50.622046465224 3.0454421716084),5
stations_metro.6,BOIS BLANCS,LILLE,350,2,POINT (50.63390862228 3.0307907604756),6
stations_metro.7,LOMME LAMBERSART NOTEBART,LOMME (LILLE),355,2,POINT (50.640666086917 3.0187180984269),7
stations_metro.8,MAISON DES ENFANTS,LOMME (LILLE),355,2,POINT (50.64632777379 2.9952299038153),8
stations_metro.9,GARE LILLE EUROPE,LILLE,350,2,POINT (50.639215416092 3.0763425322702),9
stations_metro.10,ALSACE,ROUBAIX,512,2,POINT (50.700710459034 3.1609863108519),10
stations_metro.11,GARE DE TOURCOING,TOURCOING,599,2,POINT (50.717274816905 3.1626151864547),11
stations_metro.12,TOURCOING CENTRE,TOURCOING,599,2,POINT (50.720942978257 3.160003330615),12
stations_metro.13,COLBERT,TOURCOING,599,2,POINT (50.725829423022 3.1566604429263),13
stations_metro.14,PHALEMPINS,TOURCOING,599,2,POINT (50.732441381407 3.1571557389368),14
stations_metro.15,C.H. DRON,TOURCOING,599,2,POINT (50.743403711922 3.1808883277973),15
stations_metro.16,GAMBETTA,LILLE,350,1,POINT (50.626937040431 3.0527228086576),16
stations_metro.17,MARBRERIE,LILLE,350,1,POINT (50.630144533205 3.0978842314249),17
stations_metro.18,CITE SCIENTIFIQUE PR GABILLARD,VILLENEUVE D'ASCQ,009,1,POINT (50.611592799436 3.1424023302869),18
stations_metro.19,MAIRIE DE LILLE,LILLE,350,2,POINT (50.632859564088 3.0706482839975),19
stations_metro.20,LILLE GRAND PALAIS,LILLE,350,2,POINT (50.629650916044 3.0749227602567),20
stations_metro.21,CORMONTAIGNE,LILLE,350,2,POINT (50.62620333188 3.0402751105546),21
stations_metro.22,PORT DE LILLE,LILLE,350,2,POINT (50.629897098304 3.0357498327563),22
stations_metro.23,CANTELEU,LILLE,350,2,POINT (50.637352615551 3.0243666065468),23
stations_metro.24,SAINT PHILIBERT,LOMME (LILLE),355,2,POINT (50.65212260528 2.9742839481978),24
stations_metro.25,CHU EURASANTE,LILLE,350,1,POINT (50.607962129546 3.0389900535022),25
stations_metro.26,RIHOUR,LILLE,350,1,POINT (50.635380331568 3.0628417657942),26
stations_metro.27,MAIRIE D'HELLEMMES,HELLEMMES (LILLE),298,1,POINT (50.627087958739 3.1090269892518),27
stations_metro.28,TRIOLO,VILLENEUVE D'ASCQ,009,1,POINT (50.616908286785 3.1406549851758),28
stations_metro.29,4 CANTONS STADE PIERRE MAUROY,VILLENEUVE D'ASCQ,009,1,POINT (50.605358982421 3.1390346120471),29
stations_metro.30,SAINT MAURICE PELLEVOISIN,LILLE,350,2,POINT (50.642319951629 3.088690173438),30
stations_metro.31,MONS SART,MONS EN BAROEUL,410,2,POINT (50.642126708828 3.099274678709),31
stations_metro.32,FORT DE MONS,MONS EN BAROEUL,410,2,POINT (50.642096359952 3.1191218584828),32
stations_metro.33,CROIX CENTRE,CROIX,163,2,POINT (50.674734866088 3.1462087600544),33
stations_metro.34,GARE JEAN LEBAS ROUBAIX,ROUBAIX,512,2,POINT (50.695395216837 3.1639803123037),34
stations_metro.35,CARLIERS,TOURCOING,599,2,POINT (50.711035600263 3.1601582259193),35
stations_metro.36,CAULIER,LILLE,350,1,POINT (50.63671394839 3.086821448939),36
stations_metro.37,VILLENEUVE D'ASCQ HOTEL DE VILLE,VILLENEUVE D'ASCQ,009,1,POINT (50.619194656734 3.1308306407442),37
stations_metro.38,PONT SUPERIEUR,LOMME (LILLE),355,2,POINT (50.644397571649 3.0139220099906),38
stations_metro.39,BOURG,LOMME (LILLE),355,2,POINT (50.64559164848 2.9851965831034),39
stations_metro.40,LES PRES EDGARD PISANI,VILLENEUVE D'ASCQ,009,2,POINT (50.65008472409 3.1264217771576),40
stations_metro.41,EUROTELEPORT,ROUBAIX,512,2,POINT (50.690820029775 3.1793395398336),41
stations_metro.42,MERCURE,TOURCOING,599,2,POINT (50.704758972804 3.160502773294),42
stations_metro.43,BOURGOGNE,TOURCOING,599,2,POINT (50.739474999622 3.1796728353626),43
stations_metro.44,PORTE DES POSTES,LILLE,350,2,POINT (50.618421241323 3.0502633881805),44
stations_metro.45,CHU CENTRE OSCAR LAMBRET,LILLE,350,1,POINT (50.613191336096 3.0363833511937),45
stations_metro.46,WAZEMMES,LILLE,350,1,POINT (50.623447580172 3.051567957398),46
stations_metro.47,REPUBLIQUE BEAUX ARTS,LILLE,350,1,POINT (50.631643712802 3.0608210212525),47
stations_metro.48,FIVES,LILLE,350,1,POINT (50.632793654433 3.0911828335291),48
stations_metro.49,PORTE DE VALENCIENNES,LILLE,350,2,POINT (50.621059719329 3.0788751976458),49
stations_metro.50,PORTE DE DOUAI,LILLE,350,2,POINT (50.618054245686 3.0721314989686),50
stations_metro.51,PORTE D'ARRAS,LILLE,350,2,POINT (50.617601958761 3.0622764401691),51
stations_metro.52,MITTERIE,LOMME (LILLE),355,2,POINT (50.646753485055 3.0074094251804),52
stations_metro.53,MAIRIE DE MONS,MONS EN BAROEUL,410,2,POINT (50.642336407298 3.1100650594174),53
stations_metro.54,JEAN JAURES,VILLENEUVE D'ASCQ,009,2,POINT (50.658451565364 3.1347899194045),54
stations_metro.55,WASQUEHAL PAVE DE LILLE,WASQUEHAL,646,2,POINT (50.663860223372 3.129816871827),55
stations_metro.56,WASQUEHAL HOTEL DE VILLE,WASQUEHAL,646,2,POINT (50.669764291958 3.1314847127407),56
stations_metro.57,MAIRIE DE CROIX,CROIX,163,2,POINT (50.679485082962 3.1561782612102),57
stations_metro.58,EPEULE MONTESQUIEU,ROUBAIX,512,2,POINT (50.68415389355 3.1633745629518),58
stations_metro.59,ROUBAIX CHARLES DE GAULLE,ROUBAIX,512,2,POINT (50.686931668353 3.1698326236098),59
stations_metro.60,ROUBAIX GRAND PLACE,ROUBAIX,512,2,POINT (50.6918144583 3.1747433103604),60
stations_metro.61,PONT DE NEUVILLE,TOURCOING,599,2,POINT (50.736814830671 3.1706162166714),61
stations_metro.62,GARE LILLE FLANDRES,LILLE,350,2,POINT (50.637469419166 3.0710153192989),62
